Programm;Native;Wasmtime;WAVM;Wasmer;Wasm3;WAMR
./gcc-loops;0.50;4.82;7.00;5.26;70.81;79.23
./hashset;0.10;0.11;2.69;0.18;1.88;2.25
./quicksort;0.12;0.11;2.26;0.21;1.11;1.21
./tsf;4.09;19.27;5.84;21.75;68.05;78.11
./basicmath;0.09;0.19;0.44;2.70;2.07;2.10
./bitcount;0.02;0.03;0.30;0.03;0.57;0.50
./cjpeg;0.01;0.01;1.25;0.01;0.08;0.09
./djpeg;0.00;0.00;1.25;0.01;0.02;0.02
./stringsearch;0.08;0.36;21.79;1.58;0.74;0.84
./blowfish;1.58;0.42;2.23;0.07;3.93;4.07
./blowfish;1.56;0.39;2.22;0.08;3.92;4.09
./rijndael;0.20;0.23;3.94;0.07;2.06;2.63
./rijndael;0.15;0.22;3.95;0.07;2.06;2.58
./sha;0.10;0.08;3.26;0.08;1.33;1.22
./rawcaudio;0.84;1.73;2.98;2.34;8.53;9.62
./rawdaudio;0.24;0.60;2.39;1.32;5.83;5.92
./crc32;3.63;0.74;3.82;0.07;6.76;6.01
./correlation;1.30;1.84;1.69;9.46;11.21;12.05
./covariance;1.36;1.84;1.74;9.56;11.24;12.00
./gemm;0.41;1.34;1.09;7.22;16.68;13.79
./gemver;0.13;0.17;3.01;0.32;1.62;1.64
./gesummv;0.06;0.09;2.92;0.19;0.49;0.53
./symm;0.97;1.40;1.35;7.84;10.49;10.12
./syr2k;0.58;1.18;1.01;8.94;9.73;9.59
./syrk;0.59;1.14;0.99;9.03;9.72;9.56
./trmm;0.84;1.22;1.07;7.52;6.69;7.18
./2mm;1.91;1.73;1.67;6.82;14.20;15.94
./3mm;2.94;2.43;2.45;7.22;20.62;23.83
./atax;0.01;0.01;0.30;0.04;0.11;0.10
./bicg;0.09;0.14;3.12;0.41;1.05;1.02
./doitgen;1.27;2.42;1.55;20.81;10.84;11.92
./mvt;0.02;0.01;0.29;0.05;0.09;0.10
./cholesky;7.72;8.24;7.82;19.86;80.67;85.45
./durbin;0.03;0.08;2.90;0.24;0.52;0.55
./gramschmidt;2.00;3.05;2.49;17.18;18.69;20.68
./lu;9.52;10.56;9.40;32.44;95.50;100.87
./ludcmp;8.59;7.80;8.06;8.31;81.28;90.19
./trisolv;0.04;0.07;2.85;0.23;0.33;0.32
./deriche;1.62;5.32;2.81;52.44;19.03;19.75
./floyd-warshall;8.05;13.44;10.56;60.00;320.49;295.96
./nussinov;1.59;3.16;2.72;20.08;32.44;32.64
./adi;5.30;6.66;6.73;12.34;36.15;33.98
./fdtd-2d;1.18;3.29;2.13;22.57;32.54;32.34
./heat-3d;1.09;3.40;2.62;13.03;50.90;46.03
./jacobi-1d;0.02;0.05;2.83;0.23;0.30;0.30
./jacobi-2d;0.91;2.48;1.84;11.75;27.84;27.46
./seidel-2d;13.70;15.78;14.24;37.45;59.35;52.44
./bzip2;0.00;0.10;1.11;0.07;0.00;0.00
./espeak;6.67;9.10;9.38;0.11;168.79;189.28
./facedetection;0.10;0.51;4.21;0.32;2.55;2.46
./gnuchess;0.97;1.75;2.46;1.68;38.20;37.75
./mnist;48.32;0.00;0.00;0.00;0.00;0.00
./snappy;0.12;0.00;0.00;0.00;0.00;0.00
./whitedb;4.12;0.00;0.00;0.00;0.00;0.00
